,id,title,subtitle,claps,responses,publication,date,link,tokenized,popular,year
3296,3297,Data Science on the Go — How? Ask a New Mom! Part II,,30,0,Towards Data Science,2018-10-14,https://towardsdatascience.com/data-science-on-the-go-how-ask-a-new-mom-part-ii-33161c73758d?source=collection_archive---------15-----------------------,"[('data', 'NNS'), ('science', 'NN'), ('go', 'VBP'), ('—', 'NNP'), ('ask', 'RB'), ('new', 'JJ'), ('mom', 'NN'), ('part', 'NN'), ('ii', 'NN')]",0,2018
153,154,"<strong class=""markup--strong markup--h3-strong"">Transfer learning: leveraging insights from large data sets</strong>",,1200,4,Towards Data Science,2018-01-22,https://towardsdatascience.com/transfer-learning-leveraging-insights-from-large-data-sets-d5435071ec5a?source=collection_archive---------2-----------------------,"[('strong', 'JJ'), ('class=', 'NN'), (""''"", ""''""), ('markup', 'NN'), ('--', ':'), ('strong', 'JJ'), ('markup', 'NN'), ('--', ':'), ('h3-strong', 'JJ'), (""''"", ""''""), ('transfer', 'NN'), ('learning', 'VBG'), ('leveraging', 'VBG'), ('insights', 'NNS'), ('large', 'JJ'), ('data', 'NNS'), ('sets', 'NNS'), ('/strong', 'VBP')]",1,2018
3345,3346,2 Months of Supervised Machine Learning Curriculum in 2 Charts,,252,1,Towards Data Science,2020-03-27,https://towardsdatascience.com/2-months-of-supervised-machine-learning-curriculum-in-2-charts-259970e38a63?source=collection_archive---------28-----------------------,"[('2', 'CD'), ('months', 'NNS'), ('supervised', 'VBN'), ('machine', 'NN'), ('learning', 'VBG'), ('curriculum', 'NN'), ('2', 'CD'), ('charts', 'NNS')]",1,2020
15018,15019,Introduction to Message Passing Neural Networks,Neural Networks That Send Messages on Graphs,10,0,Towards Data Science,2020-10-05,https://towardsdatascience.com/introduction-to-message-passing-neural-networks-e670dc103a87?source=collection_archive---------12-----------------------,"[('introduction', 'NN'), ('message', 'NN'), ('passing', 'VBG'), ('neural', 'JJ'), ('networks', 'NNS')]",0,2020
2369,2370,Mastering Machine Learning in Python,Accessible Machine Learning Use Cases,119,0,Towards Data Science,2020-03-04,https://towardsdatascience.com/mastering-machine-learning-in-python-67b8a9e5db50?source=collection_archive---------29-----------------------,"[('mastering', 'VBG'), ('machine', 'NN'), ('learning', 'NN'), ('python', 'NN')]",1,2020
5484,5485,How did I learn Data Science?,"Self-Learning, MOOCs and effort",1700,5,Towards Data Science,2019-08-08,https://towardsdatascience.com/how-did-i-learn-data-science-d5f7fc477997?source=collection_archive---------2-----------------------,"[('learn', 'NN'), ('data', 'NNS'), ('science', 'NN')]",1,2019
7514,7515,Feeding The Machine — How We Digitize The World For Them.,Thanks to COVID19.,12,0,Towards Data Science,2020-06-01,https://towardsdatascience.com/feeding-the-machine-how-we-digitize-the-world-for-them-3856f1fdc894?source=collection_archive---------88-----------------------,"[('feeding', 'VBG'), ('machine', 'NN'), ('—', 'NNP'), ('digitize', 'NN'), ('world', 'NN')]",0,2020
11271,11272,Handling Missing Data,PyTrix #7: Various Techniques to Handle Missing Data,16,0,Towards Data Science,2020-07-28,https://towardsdatascience.com/handling-missing-data-f998715fb73f?source=collection_archive---------55-----------------------,"[('handling', 'VBG'), ('missing', 'VBG'), ('data', 'NNS')]",0,2020
13578,13579,Top 9 Libraries for Data Visualization in Python and R,Pick the right data viz libraries from the…,138,0,Towards Data Science,2020-09-08,https://towardsdatascience.com/top-9-libraries-for-data-visualization-in-python-and-r-51bdf08e5d54?source=collection_archive---------10-----------------------,"[('top', 'JJ'), ('9', 'CD'), ('libraries', 'NNS'), ('data', 'NNS'), ('visualization', 'NN'), ('python', 'NN'), ('r', 'NN')]",1,2020
16732,16733,Understanding K-Dimensional Trees,An In-Depth Analysis Of…,112,0,Towards Data Science,2020-11-05,https://towardsdatascience.com/understanding-k-dimensional-trees-1cdbf6075f22?source=collection_archive---------17-----------------------,"[('understanding', 'VBG'), ('k-dimensional', 'JJ'), ('trees', 'NNS')]",1,2020
16742,16743,Machine Learning Mini-Project 4: Finding Important Features using Genetic Algorithms (for Heart,,15,0,Towards Data Science,2020-11-05,https://towardsdatascience.com/machine-learning-mini-project-4-finding-important-features-using-genetic-algorithms-for-heart-d069e205305f?source=collection_archive---------27-----------------------,"[('machine', 'NN'), ('learning', 'VBG'), ('mini-project', 'JJ'), ('4', 'CD'), ('finding', 'VBG'), ('important', 'JJ'), ('features', 'NNS'), ('using', 'VBG'), ('genetic', 'JJ'), ('algorithms', 'NNS'), ('heart', 'NN')]",0,2020
12295,12296,Full Stack Data Science: The Next Gen of Data Scientists Cohort,This blog post goes over what it takes…,995,11,Towards Data Science,2020-08-16,https://towardsdatascience.com/full-stack-data-science-the-next-gen-of-data-scientists-cohort-82842399646e?source=collection_archive---------1-----------------------,"[('full', 'JJ'), ('stack', 'NN'), ('data', 'NNS'), ('science', 'NN'), ('next', 'JJ'), ('gen', 'NN'), ('data', 'NNS'), ('scientists', 'NNS'), ('cohort', 'VBP')]",1,2020
5593,5594,Analogies from Word Vectors?,How analogous are these analogies?,8,0,Towards Data Science,2019-08-11,https://towardsdatascience.com/analogies-from-word-vectors-77fe12f2de52?source=collection_archive---------16-----------------------,"[('analogies', 'NNS'), ('word', 'NN'), ('vectors', 'NNS')]",0,2019
8512,8513,Defensive Query Writing,Using defensive coding principles to write…,4,0,Towards Data Science,2020-06-15,https://towardsdatascience.com/defensive-query-writing-1fa07674899b?source=collection_archive---------96-----------------------,"[('defensive', 'JJ'), ('query', 'NN'), ('writing', 'NN')]",0,2020
15571,15572,Latest picks: Supercharge your model performance with inductive bias,Your daily dose of data science,4,1,Towards Data Science,2020-10-14,https://towardsdatascience.com/latest-picks-supercharge-your-model-performance-with-inductive-bias-4921b6d5ec04?source=collection_archive---------50-----------------------,"[('latest', 'JJS'), ('picks', 'NNS'), ('supercharge', 'VBP'), ('model', 'JJ'), ('performance', 'NN'), ('inductive', 'JJ'), ('bias', 'NN')]",0,2020
3813,3814,Algorithmic Complexity,Community finding algorithms in real networks,139,0,Towards Data Science,2020-04-06,https://towardsdatascience.com/algorithmic-complexity-244bde1c3548?source=collection_archive---------45-----------------------,"[('algorithmic', 'JJ'), ('complexity', 'NN')]",1,2020
17466,17467,How I Designed My Own Full-Stack ML Engineering Degree,The road to end-to-end data scientist/machine…,145,0,Towards Data Science,2020-11-19,https://towardsdatascience.com/how-i-designed-my-own-full-stack-ml-engineering-degree-297a31e3a3b2?source=collection_archive---------2-----------------------,"[('designed', 'VBN'), ('full-stack', 'JJ'), ('ml', 'NN'), ('engineering', 'NN'), ('degree', 'NN')]",1,2020
2963,2964,AWS Glue and You,,144,1,Towards Data Science,2020-03-19,https://towardsdatascience.com/aws-glue-and-you-e2e4322f0805?source=collection_archive---------15-----------------------,"[('aws', 'NNS'), ('glue', 'VBP')]",1,2020
